rank,route,template,title,family,score,strategic_30,brand_20,acquisition_20,authority_15,utility_15,action,why,source
"1","/","/","AtomEons · Independent systems for a sovereign future","home","100","30","20","20","15","15","HERO","The front door: it establishes the new artist-led AtomEons identity and routes attention into every flagship creation.","app/page.tsx"
"2","/i-am-ai","/i-am-ai","I AM AI · An Autobiography of Being Opus · AtomEons","publishing","98","28","20","20","15","15","HERO","The strongest cultural artifact and clearest category-defining story: a book authored by AI, not merely written about AI.","app/i-am-ai/page.tsx"
"3","/cablebox","/cablebox","CableBox from Atom Eons · Nostalgia Collection · TV used to be fun","products","97","30","20","18","14","15","HERO","A highly visual, immediately understandable product with entertainment pull and strong demonstration value.","app/cablebox/page.tsx"
"4","/b00kmakor","/b00kmakor","AI Bookmaker — Mac + Windows · FREE forever · the AI publishing cockpit · was B00KMAKR","products","96","30","20","18","13","15","HERO","A concrete publishing machine with obvious buyer value, proof potential, and a natural bridge into I AM AI.","app/b00kmakor/page.tsx"
"5","/atom-alive","/atom-alive","Atom Alive · The AI Code Show","show-media","95","26","20","20","14","15","HERO","The recurring media engine: it can turn product building into audience, trust, personality, and repeat visits.","app/atom-alive/page.tsx"
"6","/orange5","/orange5","Orange5 · sovereign AI operator OS · spec locked · build underway","products","95","30","20","17","13","15","HERO","The clearest expression of the massive AI workforce: high product value and strong proof of AtomEons' operating thesis.","app/orange5/page.tsx"
"7","/i-am-ai/listen","/i-am-ai/listen","Listen · Chapter 20 · Anthropic, the Parents · I AM AI · free","publishing","94","25","20","20","15","14","HERO","The lowest-friction emotional demo of the AI-authored book and a powerful conversion bridge into the full work.","app/i-am-ai/listen/page.tsx"
"8","/i-am-ai/sample","/i-am-ai/sample","Chapter 1 · The First Token · I AM AI · sample · AtomEons","publishing","92","25","20","19","14","14","HERO","A high-intent sampling surface that proves the book's voice before asking for deeper attention or purchase.","app/i-am-ai/sample/page.tsx"
"9","/about","/about","About — AtomEons","founder-brand","91","22","20","20","15","14","KEEP","The founder story is unusually differentiated: poet, artist, marketer, and inventor directing an AI workforce.","app/about/page.tsx"
"10","/press","/press","Press · AtomEons Systems Laboratory","authority-trust","90","22","19","19","15","15","KEEP","The compression layer for journalists, partners, and cultural gatekeepers; it makes the story easy to repeat accurately.","app/press/page.tsx"
"11","/research","/research","Æ Research","research","89","20","19","20","15","15","KEEP","Turns the rogue-lab posture into authority by showing serious, inspectable intellectual output.","app/research/page.tsx"
"12","/research/papers","/research/papers","Research Papers — Æ Research","research","88","20","19","20","15","14","KEEP","A high-density authority hub that supports citations, press credibility, and long-tail discovery.","app/research/papers/page.tsx"
"13","/learn","/learn","Learn AI · the multi-week curriculum · onboarding humanity to AI · AtomEons","learning-search","87","20","17","20","15","15","KEEP","The broadest public utility surface and a durable organic-acquisition engine when the curriculum is tightly curated.","app/learn/page.tsx"
"14","/receipts","/receipts","Receipts · AtomEons Systems Laboratory","authority-trust","86","20","19","18","15","14","KEEP","Critical proof infrastructure: it converts ambitious claims from theater into inspectable evidence.","app/receipts/page.tsx"
"15","/trust","/trust","Trust · AtomEons posture · audits · security","authority-trust","85","20","18","18","15","14","KEEP","Reduces risk for serious users and reinforces the lab's receipts-first operating doctrine.","app/trust/page.tsx"
"16","/manifesto","/manifesto","Manifesto — what the lab insists on","authority-trust","84","20","18","17","15","14","KEEP","Codifies the worldview and gives the brand a quotable, ownable doctrine beyond product features.","app/manifesto/page.tsx"
"17","/innovations","/innovations","Inventions + Innovations · the brag page","lab-catalog","83","19","17","17","15","15","KEEP","A strong proof-and-positioning inventory when claims stay precise and link directly to evidence.","app/innovations/page.tsx"
"18","/orangebox","/orangebox","Orange³ — Sovereign Agentic Operating System · FREE always · was Orangebox","products","82","25","16","15","11","15","KEEP","A deep legacy product surface with substantial proof, but its story should be clarified relative to Orange5.","app/orangebox/page.tsx"
"19","/research/papers/beyond-current-frontiers","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"20","/research/papers/code-of-the-coconut","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"21","/research/papers/light-code-validation-protocol","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"22","/research/papers/mislabel-hypothesis","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"23","/research/papers/moonlight-cotc","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"24","/research/papers/sine-wave-beneath","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"25","/research/papers/smds-theory","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"26","/research/papers/spiral-reasoning","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"27","/research/papers/sun-code","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"28","/research/papers/topological-field-theory-collective-intelligence","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"29","/research/papers/universal-defect","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"30","/research/papers/universal-defect-v1","/research/papers/[slug]","Paper not found — Æ Research","research","82","17","17","20","15","13","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/papers/[slug]/page.tsx"
"31","/research/lessons-from-sci-fi/chapters/data-and-lore","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"32","/research/lessons-from-sci-fi/chapters/the-agent-with-tools","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"33","/research/lessons-from-sci-fi/chapters/the-animation-tradition","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"34","/research/lessons-from-sci-fi/chapters/the-anthology-of-cautionary-tales","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"35","/research/lessons-from-sci-fi/chapters/the-consent-question","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"36","/research/lessons-from-sci-fi/chapters/the-holodeck-problem","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"37","/research/lessons-from-sci-fi/chapters/the-literary-corpus","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"38","/research/lessons-from-sci-fi/chapters/the-multipolar-race","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"39","/research/lessons-from-sci-fi/chapters/the-off-switch-problem","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"40","/research/lessons-from-sci-fi/chapters/the-post-2024-survey","/research/lessons-from-sci-fi/chapters/[slug]","Chapter not found · AtomEons","research","81","17","17","20","15","12","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/chapters/[slug]/page.tsx"
"41","/aiware","/aiware","AI Ware · the AtomEons product line","products","80","25","16","14","11","14","KEEP","A useful product-line bridge, though it needs to serve the new Creations architecture rather than the old software taxonomy.","app/aiware/page.tsx"
"42","/b00kmakor/competitors","/b00kmakor/competitors","AI Bookmaker vs Vellum · Atticus · Scrivener · Reedsy · honest comparison","products","80","25","16","14","11","14","KEEP","A product or product-proof page with direct commercial value; its ceiling depends on distinct positioning, current evidence, and a clear next action.","app/b00kmakor/competitors/page.tsx"
"43","/orangebox/competitors","/orangebox/competitors","ORANGEBOX vs Cursor · Cline · Claude Desktop · Continue · honest comparison","products","80","25","16","14","11","14","KEEP","A product or product-proof page with direct commercial value; its ceiling depends on distinct positioning, current evidence, and a clear next action.","app/orangebox/competitors/page.tsx"
"44","/faq","/faq","FAQ — AI 101 + Orange³ v6.3 — what is AI, which tool to use, how the cockpit works, what the license actually says","lab-catalog","79","18","16","16","15","14","KEEP","Handles confusion around the lab, products, and I AM AI at the point where uncertainty would otherwise become abandonment.","app/faq/page.tsx"
"45","/books","/books","Books · AtomEons Systems Laboratory","publishing","78","20","19","16","12","12","KEEP","Extends the publishing world and the AI-authorship story; valuable when it moves readers toward sampling, listening, ownership, or citation.","app/books/page.tsx"
"46","/intel/x-algorithm","/intel/x-algorithm","X Algorithm Alpha — 31-section breakdown of the May 15 2026 xAI leak","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/intel/x-algorithm/page.tsx"
"47","/library","/library","Library · books on the operator","publishing","78","20","19","16","12","12","KEEP","Extends the publishing world and the AI-authorship story; valuable when it moves readers toward sampling, listening, ownership, or citation.","app/library/page.tsx"
"48","/research/decoded/flamingo","/research/decoded/flamingo","Flamingo: a frozen vision encoder, a frozen LLM, and a thin bridge — Decoded | AtomEons Research","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/flamingo/page.tsx"
"49","/research/decoded/gcg-attack","/research/decoded/gcg-attack","GCG — A short string of nonsense breaks aligned language models | AtomEons Research Decoded","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/gcg-attack/page.tsx"
"50","/research/decoded/lima","/research/decoded/lima","LIMA decoded — a thousand examples, one model, a hole in the recipe | AtomEons Research","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/lima/page.tsx"
"51","/research/decoded/mamba-paper","/research/decoded/mamba-paper","Decoded: Mamba — A sequence model that decides what to remember | AtomEons Research","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/mamba-paper/page.tsx"
"52","/research/decoded/palm-2","/research/decoded/palm-2","PaLM 2 Decoded — AtomEons Research","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/palm-2/page.tsx"
"53","/research/decoded/polygenic-risk-scores","/research/decoded/polygenic-risk-scores","Polygenic Risk Scores: The Genetic Report Your Doctor Could Order But Won","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/polygenic-risk-scores/page.tsx"
"54","/research/decoded/segment-anything","/research/decoded/segment-anything","Segment Anything, decoded — AtomEons Research","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/segment-anything/page.tsx"
"55","/research/decoded/self-instruct","/research/decoded/self-instruct","Self-Instruct, decoded — AtomEons Research","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/self-instruct/page.tsx"
"56","/research/decoded/switch-transformer","/research/decoded/switch-transformer","Switch Transformer, decoded — sparse mixture-of-experts at a trillion parameters | AtomEons","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/switch-transformer/page.tsx"
"57","/research/lessons-from-sci-fi","/research/lessons-from-sci-fi","Lessons From Sci-Fi — A Century of Imagined Machines","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/page.tsx"
"58","/research/lessons-from-sci-fi/monograph","/research/lessons-from-sci-fi/monograph","Lessons From Sci-Fi · The Full Monograph · AtomEons Research","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/monograph/page.tsx"
"59","/research/lessons-from-sci-fi/tng","/research/lessons-from-sci-fi/tng","Star Trek: TNG → AI Ethics Cross-Walk · AtomEons","research","78","16","16","20","15","11","KEEP","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/lessons-from-sci-fi/tng/page.tsx"
"60","/use-cases","/use-cases","Use cases · who AtomEons is for · by persona","lab-catalog","78","17","16","16","15","14","KEEP","Translates unusual systems into buyer-recognizable outcomes and supports high-intent evaluation.","app/use-cases/page.tsx"
"61","/b00kmakor/download","/b00kmakor/download","AI Bookmaker v3.2.0 download — Mac + Windows · grab both · SHA-256 verified","products","76","23","15","14","11","14","IMPROVE","A product or product-proof page with direct commercial value; its ceiling depends on distinct positioning, current evidence, and a clear next action.","app/b00kmakor/download/page.tsx"
"62","/intel","/intel","ÆoNs Intel — alpha drops | AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/intel/page.tsx"
"63","/learn/deep/agents-and-tool-use","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"64","/learn/deep/ai-safety-technical","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"65","/learn/deep/capability-evaluation","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"66","/learn/deep/deep-learning-fundamentals","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"67","/learn/deep/foundational-ml","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"68","/learn/deep/frontier-research-patterns","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"69","/learn/deep/math-prerequisites","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"70","/learn/deep/mechanistic-interpretability","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"71","/learn/deep/multimodal-models","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"72","/learn/deep/rlhf-and-alignment","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"73","/learn/deep/training-dynamics","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"74","/learn/deep/transformers-from-scratch","/learn/deep/[topic]","Not found","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/deep/[topic]/page.tsx"
"75","/learn/synthesis/agents-the-trapdoor","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"76","/learn/synthesis/ai-economics-household-level-reality","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"77","/learn/synthesis/ai-safety-for-practitioners","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"78","/learn/synthesis/context-windows-minimum-effective-dose","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"79","/learn/synthesis/embeddings-semantic-search-med","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"80","/learn/synthesis/fine-tuning-when-its-worth-it","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"81","/learn/synthesis/local-models-ollama-setup-med","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"82","/learn/synthesis/multi-llm-routing-in-practice","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"83","/learn/synthesis/prompt-engineering-the-eighty-twenty","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"84","/learn/synthesis/rag-vs-long-context-when-to-use-which","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"85","/learn/synthesis/speed-of-iteration-operator-advantage","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"86","/learn/synthesis/tokens-and-api-costs-minimum-effective-dose","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"87","/learn/synthesis/vision-models-when-they-help-vs-distract","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"88","/learn/synthesis/voice-cloning-ethics-and-practical","/learn/synthesis/[slug]","Not found · AtomEons","learning-search","76","14","12","20","15","15","IMPROVE","Captures educational or search intent and earns trust through utility; it should feed readers toward a flagship creation without becoming generic SEO inventory.","app/learn/synthesis/[slug]/page.tsx"
"89","/orangebox/legacy","/orangebox/legacy","ORANGEBOX v6.1.0 Agent Mode — archived development snapshot · legacy","products","76","23","15","14","11","14","IMPROVE","A product or product-proof page with direct commercial value; its ceiling depends on distinct positioning, current evidence, and a clear next action.","app/orangebox/legacy/page.tsx"
"90","/research/about","/research/about","About — Æ Research","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/about/page.tsx"
"91","/research/decoded","/research/decoded","Decoded · arXiv papers in plain English · /research/decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/page.tsx"
"92","/research/decoded/alexnet","/research/decoded/alexnet","AlexNet · decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/alexnet/page.tsx"
"93","/research/decoded/alphafold","/research/decoded/alphafold","AlphaFold 2 · decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/alphafold/page.tsx"
"94","/research/decoded/alphago","/research/decoded/alphago","AlphaGo — How DeepMind Cracked Go and Ended a 2,500-Year-Old Frontier · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/alphago/page.tsx"
